movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
The Hollars,2016,John Krasinski,6,John Krasinski,man,1979-10-20,37,Anna Kendrick,woman,1985-08-09,31,FALSE
The King's Speech,2010,Tom Hooper,6,Colin Firth,man,1960-09-10,50,Helena Bonham Carter,woman,1966-05-26,44,FALSE
The Way We Were,1973,Sydney Pollack,6,Robert Redford,man,1936-08-18,37,Barbra Streisand,woman,1942-04-24,31,FALSE
W.,2008,Oliver Stone,6,Josh Brolin,man,1968-02-12,40,Elizabeth Banks,woman,1974-02-10,34,FALSE
Wedding Crashers,2005,David Dobkin,6,Vince Vaughn,man,1970-03-28,35,Isla Fisher,woman,1976-02-03,29,FALSE
Zoolander,2001,Ben Stiller,6,Ben Stiller,man,1965-11-30,36,Christine Taylor,woman,1971-07-30,30,FALSE
13 Going on 30,2004,Gary Winick,5,Mark Ruffalo,man,1967-11-22,37,Jennifer Garner,woman,1972-04-17,32,FALSE
27 Dresses,2008,Anne Fletcher,5,James Marsden,man,1973-09-18,35,Katherine Heigl,woman,1978-11-24,30,FALSE
A View to a Kill,1985,John Glen,5,Christopher Walken,man,1943-03-31,42,Grace Jones,woman,1948-05-19,37,FALSE
About Time,2013,Richard Curtis,-5,Domhnall Gleeson,man,1983-05-12,30,Rachel McAdams,woman,1978-11-17,35,FALSE
All About the Benjamins,2002,Kevin Bray,5,Ice Cube,man,1969-06-15,33,Valarie Rae Miller,woman,1974-04-16,28,FALSE
American Pie,1999,"Paul Weitz, Chris Weitz",-5,Jason Biggs,man,1978-05-12,21,Shannon Elizabeth,woman,1973-09-07,26,FALSE
American Pie,1999,"Paul Weitz, Chris Weitz",-5,Thomas Ian Nicholas,man,1980-07-10,19,Tara Reid,woman,1975-11-08,24,FALSE
Anna Karenina,2012,Joe Wright,-5,Aaron Taylor-Johnson,man,1990-06-13,22,Keira Knightley,woman,1985-03-26,27,FALSE
Armageddon,1998,Michael Bay,5,Ben Affleck,man,1972-08-15,26,Liv Tyler,woman,1977-07-01,21,FALSE
Baby Driver,2017,Edgar Wright,-5,Ansel Elgort,man,1994-03-14,23,Lily James,woman,1989-04-05,28,FALSE
